lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
ip_military_campaigns|Campanhas Militares
ip_military_campaigns_text|Quando os reinos de Westeros e Essos marcham para a guerra, seus exércitos têm duas opções ofensivas básicas. Podem tentar atacar as aldeias e destruir os campos, danificando o prestígio e a economia de seus inimigos, ou então, tentar conquistar e manter castelos ou cidades, ganhando novos territórios. Embora esta última implique em fazer cercos de alto custo, resultados mais decisivos serão alcançados.^^É importante salientar que nos domínios de Westeros e na maior parte de Essos não há exércitos permanentes, que permaneçam no campo de batalha aguardando ordens. Em vez disso, os reinos calradianos estão protegidos pelas comitivas feudais compostas pelos nobres mais importantes e seus séquitos individuais. Às vezes, estes nobres lançam seus próprios ataques por sua conta contra o território inimigo, mas os acontecimentos mais decisivos geralmente ocorrerão quando os grandes exércitos dos reinos se chocarem. O marechal do reino, um nobre designado pelo rei, convocará os nobres mais importantes antes da campanha e os conduzirá à batalha. No entanto, ele deve ter o cuidado de não mantê-los no campo por muito tempo, caso contrário, os exércitos começam a desintegrar-se, já que os vassalos decidirão seguir seus próprios caminhos e o exército se tornará vulnerável a qualquer contra-ataque.^^Por esta razão, o ritmo das guerras em Westeros e Essos muitas vezes se assemelha ao ritmo de um duelo entre dois combatentes individuais. Se o marechal passa muito pouco tempo reunindo os vassalos de seu rei, não poderá ser capaz de causar reais danos. Se passa muito tempo, a campanha pode terminar antes mesmo de ter começado. Um reino grande terá vantagem sobre outro menor, da mesma forma que um guerreiro resistente pode durar mais que seu oponente. Às vezes os exércitos dos reinos se encontrarão cara a cara, resultando em uma grande batalha onde a superioridade numérica e a moral que os nobres comandantes infundem a seus homens decidirão o resultado.^^Os reinos devem agir com inteligência em suas campanhas militares. Antes de atacar, convém explorar o território inimigo para saber que fortalezas podem ser mais vulneráveis. Um exército que defende sua pátria se beneficiará claramente das defesas apresentadas em castelos e cidades, que transmitem informação sobre os movimentos do inimigo na área. No entando, estes relatórios também serão imprecisos, especialmente no que diz respeito ao número de tropas inimigas. Um exército que defende um cerco ou resgata uma aldeia pode ser capaz de dominar um atacante preparado -- ou pode calcular mal, e descobrir que é ele quem está sendo superado. Um exército atacante, por sua vez, deve ter cuidado à medida que avança pelo território inimigo, já que às vezes há marechais agressivos que aventuram-se mais além do que se aconselha a prudência.^^A maioria dos jogadores esperam se juntar às campanhas militares de sua facção, ou seja, unindo-se à coluna principal do exército, ou explorando à frente em território inimigo. Alguns jogadores podem achar que o marechal de seu reino é muito prudente ou agressivo demais para seu gosto. Neste caso, podem conspirar com outros lordes para tentar substituir o marechal, ou conseguir apoios para tornar-se o marechal por si mesmo.^^A maioria das guerras são de duração limitada. Um rei que vai à guerra, por uma questão de honra, se sente obrigado a manter vivo o conflito em curto prazo. No entanto, a menos que seja profundamente importante derrotar seu inimigo, em breve ele poderia começar a procurar uma solução para o conflito, para evitar tornar-se vulnerável ao ataque de um terceiro. Os governantes de Westeros e Essos são muito conscientes de que o aliado de hoje pode ser o inimigo de amanhã, e vice-versa.
ip_prisioner_system|Sistema de Prisioneiros
ip_prisioner_system_text|A habilidade "Gestão de Prisioneiros" foi removida de Um Mundo de Gelo e Fogo, pois parece irreal gerenciar o número de prisioneiros em termos de uma habilidade. Em Um Mundo de Gelo e Fogo, o número de prisioneiros que o jogador pode ter depende do tamanho de seu exército. Ou seja, quanto mais tropas puderem manter a guarda, mais prisioneiros ela poderá carregar.
ip_ambush|Emboscada
ip_ambush_text|A habilidade de emboscada permite que você arme emboscadas.^No menu do acampamento, escolha armar uma emboscada. Você será informado sobre a natureza atual de sua emboscada e, se for atacado, terá a opção de lançá-la.^As emboscadas podem ter efeitos devastadores, positivos ou negativos.
ip_sneaking|Esgueirar
ip_sneaking_text|A habilidade esgueirar permite que você se esgueire. No do acampamento, escolha esgueirar-se. Esgueirar irá reduzir sua velocidade.^^No entanto, se você for o atacante, você pode ter, de acordo com seu limite de esgueiramento, algum bônus de combate (mas não tão grande quanto você teria em uma emboscada).
ip_entrenchment|Acampamento Entrincheirado
ip_entrenchment_text|Quando seu exército monta acampamento, você tem a opção de entrincheirá-lo. Um local de acampamento entrincheirado é uma posição temporária fortificada que usa o terreno e piquetes como barreira defensiva. Exércitos compostos principalmente de unidades de cavalaria terão poucos benefícios com o entrincheiramento. Exércitos compostos principalmente de soldados de infantaria descobrirão que o entrincheiramento lhes dará uma vantagem significativa sobre as unidades de cavalaria. Os soldados não gostam muito de cavar buracos e plantar piquetes, então você sofrerá uma pequena penalidade moral ao escolher esta opção.^^Se você optar por não entrincheirar seu acampamento, ficará em desvantagem se for atacado durante o acampamento. Seu acampamento pode ser invadido e saqueado. Os itens em seu inventário podem ser saqueados ou destruídos na batalha. Um entrincheiramento que não foi superado recebe o benefício de múltiplas recargas de munição para as tropas. Um acampamento normal não obtém esse benefício.^^Para consolidar sua posição, você precisará de ferramentas, tempo e habilidade. As ferramentas podem ser adquiridas em muitas das cidades do Mundo Conhecido, e um conjunto deve estar em seu inventário para entrincheirar. O tempo necessário para entrincheirar é baseado no número de soldados em seu exército e na habilidade do seu grupo em engenharia. Um pequeno grupo de guerreiros sem nenhuma habilidade em engenharia levará dias para entrincheirar um acampamento. Um exército de 30 ou mais com alguns pontos em engenharia pode fazer isso em apenas algumas horas.^^Quando você completar o entrincheiramento, um círculo de piquetes cercará seu acampamento. Este entrincheiramento permanecerá no local por aproximadamente três dias após deixar o local. Você pode sair e retornar ao entrincheiramento durante este tempo sem ter que fazer mais escavações ou plantações de piquetes, evitando assim qualquer penalidade moral. Isso torna um local entrincheirado uma excelente base de operações para cercos ou incursões em território inimigo.
ip_siege_warfare|Campanha de Cerco
ip_siege_warfare_text|Uma das coisas que faltaram no Warband foi uma guerra de cerco completamente realista. Um Mundo de Gelo e Fogo explora isso ao máximo. Agora, quando o jogador sitia um assentamento, dois caminhos podem ser seguidos para subjugar o local: pela debilitação (fome, doenças...) e pelo assalto.^^No primeiro caso, a missão do jogador é cercar o assentamento (você precisa de 200 ou mais homens) e impedi-lo de receber suprimentos ou reforços. Ao mesmo tempo, várias ações podem ser realizadas para minar o moral, espalhar doenças ou destruir as reservas de alimentos do assentamento. Este tipo de ação demorará mais, mas também evitará um grande número de baixas.^^No segundo caso, a ação direta é tomada, desde que haja equipamentos de assalto disponíveis (escadas, aríete, rampas, manteletes...) ou ações ofensivas (desgastando os defensores, queimando suas casas e muralhas...). É quando o jogador se sente pronto para lançar um ataque em grande escala para conquistar o assentamento. Este tipo de ação tem a vantagem de que o local pode ser conquistado em um curto espaço de tempo, mas geralmente com um custo de vidas muito alto.^^Além disso, um novo sistema de assalto envolvendo ambos os tipos de táticas de cerco também está disponível. Quando o assentamento tem porto, o jogador pode preparar uma frota e bloquear o porto. O jogador pode então escolher continuar o cerco até a rendição por debilitação, ou liderar um ataque pelo mar.^^A complexidade e as características do novo sistema de cerco são longas, e o melhor é descobrir e desenvolver estratégias por conta própria. Bem-vindo à Campanha de Cerco Realista.
ip_sea_travel|Viagens Marítimas
ip_sea_travel_text|As Balsas em vários portos no mapa da campanha transportam seu grupo entre duas estações. Embora seja barato quando seu grupo é pequeno, fica mais caro conforme o tamanho aumenta.^^Para viajar longas distâncias pelo mar, pode-se viajar de uma cidade portuária para outra. Isso pode ser iniciado a partir do menu da cidade ou conversando com o construtor naval na parte portuária da cidade. Semelhante às balsas, este serviço se torna mais caro com o tamanho do grupo.^^Assim que tiver seu próprio navio, você pode embarcar no porto em que se encontra clicando em "Zarpar do porto" no menu da cidade. Você retornará ao mapa, mas desta vez no mar e em seu navio. A viagem marítima funciona como uma viagem terrestre.^^Existem duas maneiras diferentes de voltar à terra. Você pode clicar em um porto ou usar um ponto de desembarque. Para encontrar um ponto de desembarque, viaje próximo ao litoral ou clique com o botão direito do mouse em seu grupo e selecione "encontrar o ponto de desembarque mais próximo". Como acontece com os portos, clique no ponto de desembarque para desembarcar. Em ambos os casos, seus navios permanecerão na posição em que você desembarcou.^^Se o tamanho do seu grupo for maior do que a capacidade dos seus navios, você não poderá embarcar. Neste caso, você pode estabelecer alojamentos de tropa (menu do acampamento) em sua posição atual e outros alojamentos de tropa em sua posição de destino e, em seguida, transportar seu exército passo a passo entre os dois alojamentos.^^Ao viajar pelo mar no mapa da campanha, você pode sempre verificar o clima atual. Após clicar no botão "Acampar", as condições atuais são mostradas no lado esquerdo. Se as condições meteorológicas mudarem, você será notificado por uma mensagem no canto inferior esquerdo da tela.^^Por um lado, o tempo ventoso é bom para a velocidade de seus navios no mapa de campanha e em batalhas navais. Por outro lado, a chance de danificar suas embarcações também aumenta. O dano piora a condição de um navio, tornando-o mais lento ou mesmo destruindo-o quando a condição atinge "Perigoso". Você pode verificar as condições de seus navios clicando em "Acampar" e depois em "Frota".^^Finalmente, o clima também determina o comportamento dos navios em batalha. Isso sempre pode ser verificado com antecedência clicando em "Acampar" e depois em "Verificar localização".^^A viagem marítima é perigosa e pode diminuir a moral de suas tropas. Quando isso acontecer, você será notificado por uma mensagem. Os soldados não gostam de passar a noite sobre a água. Portanto, considere traçar sua rota para chegar à terra firme antes do anoitecer. Se a moral no mar ficar muito baixa, as tropas podem se amotinar. Isso pode ser um pouco reduzido se o jogador escolher Nascido do Ferro como sua cultura quando criar o personagem.^^Algumas tropas como marinheiros e certas tropas Nascidas do Ferro são marinheiros experientes e irão aumentar a velocidade de viagem de seus navios no mapa da campanha. Você pode verificar o efeito no lado esquerdo do menu do acampamento.^^Se houver mais de um navio em sua frota, a velocidade da frota é determinada por seu navio mais lento. No entanto, assim que você tiver mais de um navio em sua frota, você pode dividir a frota. Para fazer isso, viaje perto de uma costa. Em seguida, clique em "Acampar", "Frota" e finalmente em "Deixar o navio na costa" para deixar o(s) navio(s) mais lento(s) lá. Para reunir os navios novamente, é preciso trazê-los todos para um porto. Para obter uma visão geral de todos os seus navios em suas localizações, clique em "Personagem" e depois em "Navios".
ip_sea_battle|Batalha Naval
ip_sea_battle_text|Em algum ponto depois de começar a viajar no mar, você vai participar de uma batalha naval.^^ Primeiro de tudo, você precisa saber como controlar o seu navio. Você pode dar o comando a remar para a frente, avançar rapidamente, para trás ou ficar. As setas para cima e para baixo alternam entre estes comandos. Você também pode dar o comando para ir em linha reta, a estibordo, bombordo, ou remar com força. As teclas de seta esquerda e direita alternam entre estes comandos.^^ Comandos atuais são representados por setas ao redor da representação de seu navio no canto superior direito. Pressione 'Enter' para ajustar a vela e 'Backspace' para obter uma visão tática da cena. Experimente estes comandos para obter uma sensação de dirigir um navio e o efeito do vento.^^ Assim que você chegar perto suficiente de um navio inimigo, o embarque começará. Os navios são amarrados e a luta começa.^^ Se você tiver sorte, você pode capturar a capitânia inimiga, depois de vencer a luta.^^ Em uma batalha no mar em que você tem vários navios, você pode dar um comando 'ficar parado' ou  'carga' para seus navios, que são atribuídas a nona 'divisão'. As primeiras tropas em sua lista do exército estarão juntos com você na capitânia. As outras tropas estarão nos navios restantes. Pode-se mudar de da capitânia num porto ou ao acampar no mar.^^ Com uma frota razoavelmente grande, pode-se atacar cidades a partir de suas laterais para o mar. Para fazer isso, basta clicar sobre a cidade portuária inimiga e você terá a opção para atacá-la uma vez que você alcançá-la sem antes desembarcar.
ip_ship_info|Navios
ip_ship_info_text|Cedo ou tarde, você vai querer investir num navio. Há várias razões para tanto. A longo prazo, é a maneira mais barata de viajar pelo mar. Te dá completa liberdade de movimento no mar. Abre novas oportunidades de comércio e pilhagem.^^ No entanto, há contras. O primeiro deles é que um navio é caro, e você terá de guardar algum dinheiro para comprar um. Além disso, um navio poderá transportar apenas um número limitado de tropas.^^ Outro fator importante é a velocidade. Com um navio mais rápido, você alcançará ou fugirá de outros navios com maior facilidade. A velocidade de um navio é determinada pelo seu tipo e condições.^^ Finalmente, a madeira utilizada na sua construção afeta sua durabilidade. Enquanto navios feitos de carvalho são duráveis, aqueles feitos de madeira de faia necessitam de reparos com maior frequência.^^ Quando você se sentir confortável para comprar um navio, clique em ‘Ver navios’ no menu da cidade em cidades portuárias, ou converse com o carpinteiro naval. Cidades portuárias podem ter até três navios à venda, mas às vezes nenhum deles está disponível. O tipo e quantidade de navios oferecidos mudam com o tempo. Apesar de que todas as cidades portuárias tenham navios, os melhores se encontram nas cidades nórdicas e frísias. Para ver seu navio, você pode clicar em ‘Ver navios’ no menu da cidade, ou caminhar até o píer.^^ Num porto, é possível customizar a vela do navio ou a tinta de um navio feito de carvalho. Há uma vela especial reservada para os navios do jogador. Pode ser trocada com o uso de editor gráfico dedicado. Para maiores informações, veja a pasta ‘Velas Customizadas’ entre os arquivos deste Mod.^^ Uma vez que você possue um navio, o carpinteiro naval irá interagir contigo de uma maneira diferente com você, e não hesitará em dar conselhos. Carpinteiros navais também oferecem a personalização de navios. Navios melhores podem requerer materiais específicos que você deverá obter e trazer contigo. Navios melhores também precisam de mais tempo para sua construção e carpinteiros mais talentosos em portos nórdicos. Navios que você tenha construído podem ser renomeados no menu de customização do navio.
ip_wounds|Ferimentos
ip_wounds_text|O jogador pode receber ferimentos específicos e incapacitantes. Médicos em cidades maiores tratarão esses ferimentos por um preço, que serão curados após alguns dias. Quaisquer efeitos negativos serão então removidos. Se as feridas não forem tratadas após algum tempo, se transformará numa cicatriz, e seus efeitos negativos serão permanentes.
ip_skills|Habilidade e Atributos
ip_skills_text|Quando criar ou desenvolver um personagem em Um Mundo de Gelo e Fogo, deve-se prestar atenção às várias habilidades e atributos. Habilidades como persuasão e liderança são essenciais para comércio, soldos, interação com lordes e damas, e conversão forçada. Atributos como inteligência e carisma também são essenciais nestas atividades, mas também afetarão sua habilidade de casar ou liderar pessoas.^^ Há três habilidades importantes para o mar: ‘Capitania’, ‘Navegação’ e ‘Saque’.^^ Um nível de Capitania determina a quantidade de navios que podem ser comandados. O nível 1 possibilita até dois navios. Sete navios são o máximo que o nível 4 do 'Capitania' pode comandar.^^ A habilidade de 'Navegação' permite viajar mais rápido no mar. É o equivalente naval para 'Rastreamento' na terra (que, por sua vez, não auxiliará no mar).^^ Um nível mais alto de 'Saque' resultará numa maior chance de capturar navios inimigos.^
ip_division_placement|Posicionamento de Divisões
ip_division_placement_text|Quando uma divisão é selecionada, o centro da linha de frente é colocado no local indicado.^^ Quando muitas divisões são selecionadas, elas são separadas e espalhadas como se o jogador estivesse parado no local indicado.^^ É possível memorizar o local das divisões selecionadas relativas ao jogador pressionado F2, F7. Por padrão, a infantaria fica à esquerda, cavalaria à direita, e arqueiros à frente. A colocação é substituída por qualquer divisão que o jogador escolher através do menu de opções de formação.^^ Se a opção do menu de campo estiver configurada, as divisões irão se posicionar para encarar o inimigo. De outra forma, irão se manter na direção que o jogador estava quando elas foram posicionadas.
ip_AWoIaF_formations|Teclas e Ordens de Batalha
ip_AWoIaF_formations_text|Formações Avançadas: ative com F4 na batalha, então:^F4 - Formar Fileiras - com as melhores tropas na frente,^F7 - Formar Quadrado - sem ordem específica,^F5 - Formar Parede de Escudos - fileiras com escudos na frente e armas mais longas atrás ,^F6 - Formar Cunha - com as melhores tropas na frente,^F8 - Rompe qualquer formação atual,^^- SEM FORMAÇÃO^^Mesmo no último caso, o jogador pode fazer formações de até quatro linhas ordenando Manter Posições o mais perto o suficiente.^Memorizar a posição e a formação da divisão: ativo com F2 na batalha, então:^F7 - Memorizar a posição relativa ao jogador e a formação,^F8 - Reverter para a posição relativa padrão do jogador e da formação,^^Ordens: ativo com F5 na batalha, então :^F5 ou Tecla Z - Ordem "usar armas de uma mão",^F6 ou Tecla T - Ordem "usar armas de duas mãos e de haste",^F7 ou Tecla N - Ordem "usar armas de longo alcance",^F8 ou Tecla O - Ordem "não usar escudos",^^Segure F1 em uma divisão inimiga - e as divisões que você selecionou irão atacá-la,^^Outros:^tecla U - Grito de batalha (encoraje suas tropas feridas) - Você precisa ter o traço "Líder Natural", tecla^B - Grito de guerra (assustar os inimigos ao seu redor) - Você precisa ter o traço 'Guerreiro', tecla^T - Usar flechas de fogo (suas tropas acenderão suas flechas. Usada apenas para cercos e batalhas de navios),^Tecla H - Use para chamar seu cavalo na batalha,^tecla F6 - Ordem de escaramuça (suas tropas evitam o inimigo, afastando-se conforme o inimigo se aproxima),^tecla F9 - Início ou fim da ordem tiro de salva de armas para arqueiros,^Clique com o botão direito + Clique com o botão esquerdo - Golpear com Escudo.
ip_wolf_companion|Companheiro Lobo/Cachorro
ip_wolf_companion_text|No campo de batalha, seu lobo/cachorro é colocado na divisão 9. As habilidades de seu companheiro lobo/cachorro podem ser melhoradas dando-lhe boa comida.
ip_quarters|Alojamento
ip_quarters_text|Os alojamentos permitirão que você deixe algumas de suas tropas em um determinado local do mapa. Você pode possuir até dois alojamentos.^^ Existem diversas ocasiões que fazem o alojamento ser útil:^^ -Se você precisar viajar de barco, mas não pode pagar a passagem de todas as suas unidades ^^ -Se a capacidade de sua frota não é grande o suficiente para transportar todas as tropas ao mesmo tempo ^^ -Se você quiser esgueirar-se para dentro de uma cidade ^^ -Se quiser viajar rapidamente pelo mapa do mundo
ip_special_troops|Tropas Especiais
ip_special_troops_text|Existem várias tropas especiais em Um Mundo de Gelo e Fogo que permitem que você colete estatísticas extras dependendo da quantidade que você tem em seu grupo.^^Abaixo você pode ver o número necessário: ^^Corneteiros^1+ = + 1 tática^10+ = +2 tática^30+ = + 3 tática^^Porta-Estantardes^1+ = + 1 liderança^10+ = + 2 liderança^30+ = + 3 liderança^^Tropas Religiosas^1+ = + 1 cirurgia^10+ = + 2 cirurgia^30+ = + 3 cirurgia^^Salteador Veterano Nascido do Ferro^5+ = + 1 saque^10+ = + 2 saque^40+ = + 3 saque^^Pastor^1+ = + 1 forragem^10+ = + 2 forragem^30+ = + 3 forragem^^Imaculado^10+ = + 1 tática^30+ = + 2 tática^100+ = + 3 tática^^Espião^5+ = + 1 detecção^10+ = + 2 detecção
ip_wiki_and_forums|Wiki e Fóruns de Um Mundo de Gelo e Fogo
ip_wiki_and_forums_text|Não se esqueça de visitar nosso wiki e fóruns para obter mais informações sobre este mod^- Fóruns: http://aworldoficeandfire.co.uk/Forums/index.php^- Wiki: http://aworldoficeandfire.co.uk/wiki/index.php?title=Main Página^- Patreon: https://www.patreon.com/awoiaf^- Twitter: @therealproduno^- YouTube: https://www.youtube.com/user/produno^- ModDB: http://www.moddb.com/mods/a-world-of-ice-and-fire
ip_credits|Créditos
